what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"win32",1572795576230
arch,sysinfo,,,"x86",1572795576230
ws,sysinfo,,,"win32",1572795576230
locale,sysinfo,,,"zh_CN",1572795576230
processors,sysinfo,,,"4",1572795576230
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1572795576230
java.runtime.version,sysinfo,,,"1.6.0_45-b06",1572795576230
java.specification.name,sysinfo,,,"Java Platform API Specification",1572795576230
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1572795576230
java.specification.version,sysinfo,,,"1.6",1572795576230
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1572795576230
java.version,sysinfo,,,"1.6.0_45",1572795576230
java.vm.info,sysinfo,,,"mixed mode, sharing",1572795576230
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1572795576230
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1572795576230
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1572795576230
java.vm.specification.version,sysinfo,,,"1.0",1572795576230
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1572795576230
java.vm.version,sysinfo,,,"20.45-b01",1572795576230
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1572795579413
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1572795686028
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1572795686969
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1572795688032
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1572795688271
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1572795688612
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1572795688713
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1572795688715
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1572795688717
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1572795688718
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1572795688719
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1572795688720
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1572795688721
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1572795688723
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1572795688724
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1572795688724
